EventNumber Channel hitT hitX hitY hitZ hitQ hitPE
22 383 8 0.27232 0.603652 -1.12871 0.00149165 1.21272
22 435 4 -0.274461 0.157547 -1.04804 0.00236533 1.88173
22 441 10 0.550774 0.156461 -0.943521 0.00107395 0.899454
22 457 22 1.05467 0.15453 -0.266429 0.00155588 1.17781
24 361 6 0.483502 1.50132 -0.677697 0.00177706 1.90468
24 367 8 0.683524 1.50021 -0.470894 0.00190484 1.30737
24 374 12 0.980274 -0.683454 0.609862 0.00111619 0.960573
24 381 2 0.987308 -0.265603 -0.6027 0.000802558 0.680134
24 382 8 0.940467 0.15453 -0.553142 0.00225333 1.52976
24 387 8 0.27232 -0.255616 -1.12871 9.35128e-05 0.0718776
24 388 14 -0.271416 -0.248554 -1.12762 0.000602683 0.491185
24 392 6 0.595539 -0.685606 -0.995765 0.000570751 0.508238
24 433 8 0.550774 -1.13919 -0.943521 0.00130086 1.12531
24 437 0 0.276007 1.00917 -1.06118 0.00289405 2.24519
24 450 12 0.930484 0.166217 0.567959 0.000959319 0.818531
24 451 4 1.04949 0.158655 0.295542 0.00111942 0.904214
24 455 12 1.04736 1.00903 0.287574 0.00144746 1.26416
25 337 6 0.191253 -1.55989 0.779463 0.0014597 0.973136
25 353 6 -0.813383 1.49826 0.150272 0.000253934 0.778939
25 381 14 0.987308 -0.265603 -0.6027 0.00112654 0.954695
25 395 0 -1.12497 -0.692034 0.261124 0.00196824 1.70558
25 399 2 -0.985707 -0.68356 -0.603023 0.00194893 1.6962
25 425 4 -1.05524 0.151641 -0.26962 0.00213968 1.66902
25 433 10 0.550774 -1.13919 -0.943521 0.00115179 0.996358
27 348 6 0.593255 -1.55989 0.381869 0.000599805 0.477932
27 350 12 0.791119 -1.55087 0.183507 0.0018603 1.54896
27 353 18 -0.813383 1.49826 0.150272 0.000335226 1.0283
27 396 22 -1.12701 -0.269387 0.265664 0.000828076 0.727021
27 401 12 -1.12268 -0.263086 -0.275456 0.000190594 0.170783
27 405 0 0.553883 0.154889 0.93738 0.00894683 7.49316
27 410 6 -0.273005 0.60204 1.12638 0.00205841 1.68446
27 411 10 -0.592554 0.60204 0.988542 0.000823439 0.789491
27 419 12 -1.04673 -0.712828 -0.284475 0.00194572 1.6255
27 425 8 -1.05524 0.151641 -0.26962 0.00145114 1.13193
27 425 42 -1.05524 0.151641 -0.26962 0.00154478 1.20498
27 426 14 -0.938199 1.00742 0.554067 0.000606877 0.560367
27 429 6 -0.273348 -1.1537 1.05465 0.00156911 1.36682
27 432 10 -0.547101 -0.704891 -0.948009 0.00109419 0.838459
27 451 4 1.04949 0.158655 0.295542 0.00147012 1.18749
28 353 10 -0.813383 1.49826 0.150272 0.000360525 1.1059
28 357 12 -0.81581 1.49826 -0.136478 0.00384301 2.30811
28 383 10 0.27232 0.603652 -1.12871 0.00077511 0.630171
28 384 10 -0.601978 0.606756 -0.985573 0.00120907 1.01008
28 393 14 -0.548115 0.157547 -0.938666 0.000599915 0.398615
28 402 10 -0.989842 -0.264831 0.590253 0.00145033 1.59202
28 414 0 0.266799 -0.692491 1.12485 0.00136799 1.238
28 439 14 0.273834 -0.712012 -1.0643 0.000883198 0.726314
29 335 12 -0.445549 -1.55989 0.121155 0.00099805 0.764203
29 336 16 -0.57756 -1.55118 -0.371039 0.00111388 0.956946
29 398 16 -1.12268 0.602692 -0.275456 0.000773121 0.652423
29 406 30 0.277282 -0.254911 1.1262 0.00167952 1.19539
29 415 10 0.272041 0.602422 1.12552 0.000760914 0.812075
29 418 12 -0.941372 -1.14774 -0.540199 0.000661259 0.55059
