eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
106 134.492 -150.718 2.70699 0 0.892935 0.324351 0.312193 3.011 0.00424937
107 -116.885 98.3767 25.9134 0 -0.606336 0.0524268 0.793479 3.011 0.00969792
108 -144.095 186.971 38.8933 0 -0.588739 0.790142 0.170476 3.011 0.00899721
109 110.32 89.7278 84.4559 0 0.382091 -0.567109 0.729653 3.011 0.00531407
110 14.6672 -70.7757 87.7606 0 -0.094933 0.920894 0.378078 3.011 0.00382471
111 148.359 99.9508 -11.6843 0 -0.354858 -0.826924 0.436203 3.011 0.00929705
112 131.469 16.3804 -64.6723 0 -0.480937 0.609268 0.63047 3.011 0.0101927
113 10.0011 154.525 118.919 0 -0.475343 0.0734888 -0.876726 3.011 0.00883234
114 -35.814 -176.496 144.233 0 0.481758 -0.848937 0.217291 3.011 0.00605901
115 -31.4074 -133.738 30.7898 0 0.754361 -0.113804 0.64652 3.011 0.0107876
116 -74.1654 -186.816 -123.028 0 -0.737058 -0.315313 0.597765 3.011 0.00609258
117 43.5241 -108.235 141.792 0 -0.771384 0.619387 -0.146036 3.011 0.00860748
118 -71.3274 173.991 90.911 0 -0.139516 -0.930472 0.338758 3.011 0.00707205
119 -1.9914 115.125 6.76325 0 -0.023426 0.941437 0.336375 3.011 0.00956989
120 64.1699 37.5817 -31.1776 0 -0.328418 0.860226 0.390068 3.011 0.0094001
121 -81.6437 -129.579 115.415 0 0.35281 0.576354 0.737117 3.011 0.0054753
122 -128.993 165.267 -27.8447 0 -0.45134 0.884393 -0.118912 3.011 0.00626541
123 119.724 -22.6225 -84.6398 0 0.904447 0.41349 -0.104889 3.011 0.00666015
124 75.7963 -126.26 41.3133 0 -0.31314 0.489546 0.81381 3.011 0.0110636
125 43.8306 165.445 100.892 0 0.561893 0.78487 -0.261258 3.011 0.00943072
126 -134.11 -97.7703 -47.1322 0 0.765054 -0.438635 -0.471478 3.011 0.00947825
127 7.24443 -110.099 30.5905 0 0.94184 -0.0602808 0.33061 3.011 0.0111184
128 55.3627 135 93.56 0 -0.85091 0.316483 0.419274 3.011 0.00975974
129 27.6402 170.841 -122.121 0 -0.742442 -0.309394 0.594184 3.011 0.00989673
130 120.802 -118.482 -80.5657 0 0.807272 -0.20457 -0.553592 3.011 0.00949805
131 -87.9469 12.6346 -63.295 0 -0.343755 0.582451 -0.736603 3.011 0.0275947
132 98.6069 -93.9927 -39.824 0 0.45564 0.33744 0.823727 3.011 0.0075936
