eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits clusterTime
389 0.305356 254.623 23.424 0.147658 89 12.0674
390 0.0602274 52.64 7.47127 0.20661 40 11.9
392 0.214733 182.802 20.0614 0.171805 76 11.2632
393 0.392129 332.626 15.8456 0.106889 117 11.1795
394 0.0245901 20.9136 1.80927 0.216461 21 11.7143
396 0.02201 18.7588 2.4061 0.272033 14 10.2857
397 0.304903 249.455 30.6566 0.183893 78 10.8462
398 0.188364 161.519 16.8315 0.186821 72 12.8889
400 0.298386 247.502 17.3321 0.160672 76 10.8158
404 0.163652 139.51 17.3935 0.16767 75 15.2
405 0.274846 237.387 9.41132 0.0988103 103 10.4078
406 0.235875 195.835 10.9068 0.122561 94 10.7021
407 0.147484 124.091 19.3861 0.245198 51 11.4902
408 0.210834 167.205 21.7652 0.176329 74 11
409 0.240187 200.162 11.6514 0.125012 101 12.8713
410 0.35597 290.113 14.6087 0.127229 99 11.3737
411 0.153339 128.023 8.65995 0.137436 69 14.1739
412 0.00941428 7.75408 1.81607 0.42491 7 8.57143
413 0.352276 300.084 34.2346 0.186697 88 12.7955
414 0.0900383 79.096 9.03133 0.194409 48 11.8333
415 0.152154 128.041 26.1317 0.265614 58 11.8621
417 0.205557 170.139 18.1905 0.165055 71 10.5915
418 0.0864673 70.8066 9.96414 0.205653 46 10.3913
420 0.073647 62.386 6.51984 0.171365 44 10.5455
422 0.239345 204.69 21.5332 0.149975 91 10.3516
424 0.00641109 5.3309 1.36797 0.43432 6 26.6667
425 0.0935829 79.7352 7.7254 0.164766 52 11.7692
426 0.0644933 53.5371 3.70758 0.152011 42 12.2381
428 0.227344 188.429 13.7861 0.1578 79 12.7848
432 0.374326 317.494 37.6958 0.167795 108 12.2037
433 0.056943 45.1244 11.2992 0.368306 18 11.3333
434 0.313643 266.592 12.1155 0.107407 110 12.4364
435 0.280323 236.717 21.5214 0.142791 104 12.2692
436 0.00800948 6.21491 1.58457 0.449188 5 8.8
437 0.233336 189.55 21.5532 0.174179 71 10.2254
439 0.173917 150.706 16.8361 0.195168 71 12.9014
440 0.0382853 36.9176 10.9142 0.439851 18 10.3333
441 0.034996 27.215 9.87861 0.394639 15 10
443 0.200331 180.348 19.8919 0.18666 67 11.7015
444 0.303637 251.538 21.8571 0.178568 77 11.7403
445 0.263605 226.239 17.7428 0.141624 86 11.8605
446 0.0299974 24.0157 6.01421 0.319451 16 12.5
447 0.233152 199.226 11.2215 0.134321 89 13.4607
448 0.0334914 27.6652 3.27282 0.21649 23 11.3043
449 0.0559536 45.5802 5.0541 0.196493 41 13.6098
451 0.0659799 55.9227 4.42023 0.162279 39 9.48718
452 0.0322623 26.574 3.97764 0.261347 18 10
454 0.0588713 49.0347 4.64371 0.171024 38 9.15789
455 0.279347 225.32 25.6527 0.175303 70 11.4571
459 0.00763047 6.17983 1.17338 0.376111 7 7.71429
460 0.295016 234.765 41.5873 0.264858 63 12.5714
464 0.22621 188.269 13.9789 0.151712 78 11.9231
466 0.0996643 82.4316 11.1761 0.212878 35 10.6286
470 0.31436 262.108 50.7654 0.243069 72 11.6389
471 0.14393 122.078 23.0215 0.302831 37 13.8378
472 0.304639 248.33 22.7995 0.165225 81 10.8395
473 0.0372524 31.9566 9.68655 0.374556 21 12.5714
475 0.0995741 84.6482 6.29039 0.152755 50 10.4
476 0.301626 255.258 19.2721 0.154746 88 12.1591
477 0.0793383 67.6022 16.1631 0.29461 36 12.9444
478 0.213254 180.745 18.0108 0.175104 78 10.6923
479 0.313813 265.721 21.9055 0.1515 100 12.04
480 0.310605 260.757 14.0879 0.129912 97 12.0206
481 0.120133 98.6192 13.1144 0.178547 53 11.6981
482 0.284071 245.891 16.5095 0.126902 95 10.9474
483 0.159382 138.553 13.7822 0.159113 63 12.2857
484 0.0273015 22.2678 2.2802 0.223091 21 13.0476
487 0.127302 110.723 9.01059 0.140837 69 13.1014
488 0.00473963 3.76304 1.17464 0.496307 5 16
489 0.29293 241.851 10.9597 0.0987629 111 11.4054
490 0.256073 213.766 19.8175 0.164012 77 12.1818
494 0.149142 123.646 8.71885 0.144823 66 9.39394
495 0.051126 38.9753 5.73587 0.223859 26 10.3846
496 0.0688722 57.4634 10.6149 0.291845 25 9.92
497 0.232294 193.931 18.427 0.181643 77 12.026
498 0.37813 317.569 26.7549 0.169544 101 13.9604
499 0.310492 254.33 33.8215 0.196801 71 11.3521
500 0.27303 235.107 22.5146 0.145387 87 11.5862
501 0.313657 267.653 20.2435 0.143149 88 11.5909
503 0.0344389 28.8545 3.14804 0.235074 21 11.4286
504 0.00809585 6.98784 2.47246 0.474665 6 5.66667
505 0.195551 162.175 10.9246 0.13115 81 13.358
506 0.241438 180.089 49.795 0.329963 51 10.8235
507 0.248649 213.514 27.8233 0.229053 55 9.6
508 0.254197 214.862 27.2167 0.215667 67 11.194
509 0.269029 223.182 13.0208 0.13655 86 11.4419
510 0.0558668 44.0367 3.92823 0.210569 34 14.2353
511 0.318168 278.971 34.6326 0.163396 85 11.2
