eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
314 0.102477 84.3896 16.0212 0.266515 38
317 0.158301 124.824 12.371 0.194839 50
318 0.102298 88.8083 25.1511 0.365853 32
319 0.07777 61.8853 4.28955 0.165785 40
320 0.113274 96.7783 6.77812 0.160191 48
321 0.102479 86.2513 10.0822 0.186172 49
323 0.0861135 76.0475 4.71845 0.155301 50
325 0.130424 109.856 10.5307 0.161962 61
328 0.152169 125.394 9.01072 0.156088 63
331 0.0149556 13.9184 3.01868 0.316996 13
332 0.0160609 13.1763 3.50022 0.358486 11
334 0.111591 88.9133 12.3829 0.239742 31
337 0.115736 89.7256 15.0696 0.236389 39
338 0.0970991 81.5494 8.6087 0.182266 48
339 0.157267 133.519 29.0958 0.264237 47
340 0.0884075 74.8352 11.4223 0.24574 34
341 0.0581342 51.5841 4.38871 0.188933 37
342 0.144918 119.818 9.58651 0.182179 47
343 0.0481568 38.5599 3.33868 0.196748 28
344 0.0142113 13.2922 1.71184 0.285236 13
348 0.177572 144.253 14.8398 0.15258 75
349 0.00547037 4.87559 1.42888 0.474662 5
351 0.152537 125.971 8.90645 0.142825 65
352 0.1754 142.237 17.0944 0.226428 40
355 0.133329 108.275 15.1349 0.238245 38
357 0.114952 93.5576 8.99392 0.161482 52
361 0.140828 124.014 10.3125 0.166272 67
362 0.0100967 8.20098 1.24526 0.336631 9
363 0.0316636 26.6822 3.131 0.242197 21
364 0.0628174 53.3285 3.89244 0.1797 38
365 0.113042 98.477 11.1754 0.213561 44
367 0.0902611 74.8731 21.026 0.332223 32
369 0.0809345 67.3403 12.876 0.277387 37
371 0.0523502 45.5733 8.14871 0.235572 31
372 0.189493 156.103 7.9661 0.116444 78
374 0.00823811 7.0748 1.49565 0.405363 7
375 0.0501438 43.4153 20.9695 0.500454 18
376 0.148113 121.393 12.9818 0.175134 56
377 0.0623022 53.3697 7.54213 0.221811 33
378 0.149003 126.543 10.4062 0.165506 57
381 0.12377 101.774 7.28181 0.15588 63
382 0.156185 138.705 10.8166 0.17079 58
384 0.17711 149.964 8.91263 0.135501 69
388 0.213054 177.528 17.0927 0.173156 69
389 0.196071 162.705 7.83138 0.134066 79
391 0.0665315 55.7869 6.35213 0.187948 41
392 0.10329 89.2477 9.23763 0.18799 48
393 0.134678 108.97 14.0516 0.171811 66
395 0.132445 108.961 19.5425 0.235214 51
396 0.0838852 69.6301 9.84825 0.212121 36
397 0.087633 79.3111 13.8401 0.272069 37
398 0.0200884 15.3354 3.29812 0.305651 14
399 0.0116985 10.1497 1.98704 0.368011 8
400 0.135654 114.988 8.10294 0.150539 67
402 0.140307 115.889 7.37617 0.147011 56
403 0.112452 93.738 6.77983 0.167083 43
404 0.0810104 68.9448 11.9011 0.214075 45
406 0.0428078 36.9839 7.23805 0.271059 22
407 0.200956 160.364 16.8297 0.191741 66
409 0.106315 87.1586 12.3107 0.20194 50
410 0.0789596 68.673 15.8072 0.285392 40
411 0.0625578 54.2046 8.7731 0.249236 26
412 0.024363 21.0495 5.11236 0.307652 16
413 0.126264 109.543 19.7663 0.303978 38
414 0.127539 108.703 12.8945 0.229746 37
415 0.0827991 67.9522 5.39363 0.175102 36
416 0.00663209 5.31632 1.72342 0.470488 5
417 0.149463 121.933 16.5366 0.189842 55
418 0.0999133 86.7732 9.60764 0.180001 45
420 0.170892 139.31 7.45213 0.129466 61
421 0.14114 113.888 11.0964 0.174558 58
422 0.0135436 11.3209 1.85656 0.336167 10
423 0.103165 90.8607 10.6784 0.196914 45
426 0.0871476 73.1544 11.6778 0.236249 36
427 0.0573047 45.4888 4.70337 0.187284 33
429 0.0807683 71.0936 26.3177 0.37926 36
431 0.083029 66.2434 6.87632 0.225263 34
433 0.0982543 79.0066 15.9657 0.284973 31
434 0.0827452 67.1988 18.287 0.345769 30
435 0.155216 133.836 9.84912 0.141428 76
436 0.140193 112.594 8.26962 0.156035 57
437 0.11476 99.1852 15.7807 0.234918 39
439 0.116298 96.1869 12.9537 0.214886 52
442 0.146919 119.865 13.819 0.157904 67
443 0.0876119 76.5703 13.1356 0.217126 42
444 0.177486 148.095 19.7285 0.219577 51
445 0.0497304 41.3515 6.57899 0.216378 33
446 0.0452997 39.3985 5.08829 0.226072 25
447 0.191531 158.336 12.5086 0.153461 64
448 0.0465975 38.5611 2.93068 0.168251 36
449 0.0755005 64.7522 7.06079 0.186698 40
450 0.00627525 5.6098 1.63372 0.458014 6
451 0.0468215 40.204 7.68468 0.252015 26
452 0.0896803 74.6136 8.01833 0.172437 50
453 0.142532 117.097 12.3709 0.178183 53
456 0.153121 129.072 9.3413 0.153347 59
457 0.0333148 28.6146 2.51336 0.214788 25
458 0.126498 107.801 11.7701 0.179876 58
459 0.111798 93.5359 12.6136 0.245626 40
460 0.148771 123.31 6.60234 0.131061 75
461 0.139882 116.885 10.5097 0.177 56
