eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
107 69.4873 -155.647 -5.87444 0 -0.0932767 -0.657488 0.747669 15.511 0.063116
108 -61.0801 139.151 -19.5278 0 -0.869837 0.490788 0.0501168 15.511 0.0675451
109 52.7585 -122.172 -53.9968 0 -0.0623911 -0.968412 -0.241425 15.511 0.068008
110 101.578 71.5039 54.761 0 -0.459416 -0.8608 0.218996 15.511 0.0783647
111 -3.85083 -19.9396 100.62 0 -0.18069 -0.922621 -0.340765 15.511 0.0701049
112 31.3635 166.332 30.4044 0 -0.00816192 0.924185 0.381858 15.511 0.0379933
113 -28.787 -1.93919 -33.1318 0 0.349935 -0.562323 0.749225 15.511 0.05623
114 13.3592 93.7545 -118.519 0 -0.651819 -0.71961 -0.23936 15.511 0.0472435
115 -16.4872 -31.9345 -8.98721 0 -0.49176 0.417409 0.764161 15.511 0.0669461
116 39.9464 95.4842 59.5266 0 0.821511 -0.567775 0.052462 15.511 0.0659736
117 -137.931 -80.1683 41.7252 0 0.912393 -0.409304 -0.00289476 15.511 0.0689648
118 -91.4121 107.721 -74.6714 0 0.216916 -0.796001 0.565092 15.511 0.0476934
119 47.4945 -178.422 36.4251 0 0.711373 -0.602858 0.361262 15.511 0.0670548
120 -61.9723 -24.5812 -21.9613 0 -0.228423 0.847966 0.478306 15.511 0.0657908
121 -116.15 -175.046 17.1517 0 0.810715 -0.584137 -0.039042 15.511 0.055312
122 -29.8464 37.8986 23.0503 0 -0.364948 -0.110797 0.924412 15.511 0.0624537
123 -4.72696 186.869 -134.581 0 -0.983385 0.0661647 0.169045 15.511 0.0537785
124 -97.9905 -47.5078 -41.7444 0 -0.993465 -0.0340538 0.108935 15.511 0.0572828
125 -80.1824 116.164 125.6 0 0.072433 0.776154 0.626369 15.511 0.0665619
126 -99.278 -29.2784 7.07772 0 0.946704 -0.219214 -0.236 15.511 0.0566957
127 -71.0033 -114.598 -101.049 0 0.0252694 0.927398 0.373223 15.511 0.0531873
128 1.11528 50.0167 59.9564 0 -0.39982 0.900645 -0.170241 15.511 0.0429507
129 -92.341 -15.3095 51.9672 0 0.309492 0.0738286 -0.948032 15.511 0.0687152
130 -6.83554 123.473 -67.7944 0 -0.636705 0.763167 0.110375 15.511 0.0670236
131 -74.872 83.9208 -57.136 0 0.670064 -0.177392 0.720796 15.511 0.0571375
132 -111.338 11.8594 62.8345 0 -0.970955 -0.159299 -0.178524 15.511 0.0562419
133 39.884 71.8222 53.9465 0 0.164996 0.214019 -0.962794 15.511 0.0566034
134 23.7634 -67.3675 -66.5199 0 -0.649651 -0.640258 0.409907 15.511 0.0728614
135 -6.49815 74.8624 65.7952 0 0.197653 0.848063 -0.491652 15.511 0.0551462
136 -98.9237 -121.005 -71.6237 0 0.811742 0.550928 0.193785 15.511 0.0678932
137 36.2532 176.867 -132.863 0 0.0555014 0.478741 0.8762 15.511 0.0628368
138 89.1814 24.6417 -88.5572 0 -0.488551 0.586937 0.645619 15.511 0.060147
139 -46.6621 -136.381 -54.4337 0 -0.773444 -0.627841 -0.0871787 15.511 0.065557
140 -45.2951 1.81914 -88.117 0 0.465423 0.68014 0.566384 15.511 0.0616401
141 94.8921 42.497 -69.4618 0 0.523095 -0.0736148 0.849089 15.511 0.0610569
142 0.952899 -53.1578 59.9411 0 0.832092 -0.00185573 0.554634 15.511 0.0508821
143 -2.96175 -115.284 122.257 0 0.0384926 -0.709371 0.703783 15.511 0.0648741
