eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
521 0.313168 261.282 10.409 0.0847795 126
522 0.103714 84.9839 22.0388 0.298946 41
524 0.149836 122.98 21.1296 0.232755 54
525 0.142834 120.143 20.2822 0.220279 55
526 0.300259 239.583 35.5955 0.243532 65
527 0.180812 156.564 19.3747 0.202955 58
529 0.132366 114.57 24.7714 0.256199 57
530 0.023585 20.0757 3.64218 0.298715 13
531 0.117511 98.0133 10.9057 0.164882 63
533 0.076702 63.5908 4.87194 0.16312 42
534 0.0825879 66.4496 5.1421 0.173127 43
535 0.201426 167.638 19.0637 0.1683 68
539 0.0269127 21.0946 3.91541 0.29726 18
540 0.0131188 10.653 1.38539 0.302315 12
541 0.10931 89.8006 11.4548 0.190427 45
542 0.0177373 13.9075 2.32236 0.300061 12
543 0.105657 86.9417 6.38196 0.144769 57
544 0.067127 54.895 6.79295 0.183712 44
545 0.0550023 43.9515 8.81174 0.2631 29
546 0.277677 238.52 48.4943 0.27064 63
547 0.205323 173.608 12.7141 0.141503 79
549 0.18501 152.941 20.6727 0.172397 60
550 0.139407 112.28 29.4653 0.280042 54
551 0.0960615 82.4213 12.8009 0.232681 42
552 0.0698228 57.392 7.12683 0.209602 38
555 0.272123 223.094 21.5161 0.151038 84
558 0.271764 230.15 20.5405 0.175835 72
559 0.220515 185.042 12.9611 0.130494 86
561 0.0108742 9.00379 1.74963 0.367973 9
562 0.0735713 62.0029 12.6899 0.242117 40
563 0.125839 106.417 13.7568 0.220723 60
565 0.0554487 46.13 3.46875 0.164852 42
566 0.261259 216.797 11.8324 0.126346 96
569 0.0678784 57.3641 6.68849 0.18802 41
570 0.334705 271.628 45.8626 0.204327 93
573 0.252297 219.345 22.6706 0.157557 76
574 0.0778425 64.0477 10.961 0.23128 37
575 0.344565 292.127 12.3638 0.114336 100
576 0.142095 122.965 13.7027 0.167621 60
577 0.33234 275.631 33.9256 0.181234 86
578 0.0491601 42.3965 6.70075 0.209199 33
579 0.0194368 15.6769 1.57344 0.248406 17
580 0.21423 177.745 16.6767 0.17246 70
581 0.280275 235.217 22.2789 0.16406 74
582 0.0445745 39.6613 15.6255 0.413779 22
583 0.27687 231.696 15.9037 0.15044 85
584 0.130963 114.521 12.4431 0.157485 63
587 0.285042 245.585 46.1952 0.254317 77
589 0.297266 260.415 34.2248 0.202869 93
590 0.0998123 81.0913 18.7318 0.276327 43
591 0.075947 64.3707 8.8182 0.189338 41
592 0.282625 237.88 19.5618 0.143891 98
593 0.259519 226.985 12.6595 0.128888 88
594 0.251088 210.738 11.5847 0.13537 82
595 0.0673369 60.084 5.89746 0.17857 43
596 0.239135 198.973 14.1016 0.13089 78
597 0.20082 164.777 42.1457 0.280594 66
599 0.328326 279.739 15.4029 0.120208 105
