eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
106 -96.8703 86.4125 -64.9928 0 0.0540573 -0.318877 0.946253 10.511 0.0436134
107 123.313 109.14 65.1887 0 -0.609607 -0.792688 -0.00499833 10.511 0.0423022
108 -70.861 -150.899 -20.6071 0 0.852165 0.523144 -0.0115893 10.511 0.0567684
109 -26.9449 -194.567 -146.742 0 0.0432763 0.688314 -0.72412 10.511 0.0352664
110 129.534 -25.3824 68.4438 0 0.850262 -0.517098 -0.0983069 10.511 0.040566
111 -4.13906 73.1974 -129.794 0 0.746023 0.66042 0.0854127 10.511 0.0501939
112 50.3131 -152.605 59.8536 0 -0.177298 -0.946313 0.270292 10.511 0.0677717
113 -87.2487 149.375 63.3295 0 -0.00731242 -0.993947 -0.109614 10.511 0.0370068
114 99.3176 -145.16 0.481039 0 -0.819358 -0.490019 -0.297547 10.511 0.0384699
115 -130.809 170.003 25.7864 0 -0.147172 -0.846577 0.511515 10.511 0.0489753
116 -101.854 -147.618 48.6656 0 0.655859 -0.746938 0.109237 10.511 0.0506858
117 -39.8926 63.2893 123.114 0 -0.672933 0.733179 0.0980264 10.511 0.0500384
118 76.0212 160.651 -97.4553 0 -0.754133 0.518865 0.402571 10.511 0.0532381
119 61.5706 190.116 38.2763 0 -0.0673249 0.221845 -0.972755 10.511 0.0440649
120 35.4661 -37.258 98.9761 0 0.260172 -0.0719549 0.962877 10.511 0.031497
121 -18.4481 110.317 108.663 0 -0.334283 0.838833 0.429668 10.511 0.051958
122 -5.80714 159.745 -88.4449 0 0.907118 -0.372559 -0.195799 10.511 0.043967
123 54.7675 147.451 66.8987 0 -0.382233 0.888471 0.254003 10.511 0.032301
124 134.609 -45.7176 -17.107 0 -0.956221 0.248199 0.155043 10.511 0.0402148
125 140.27 49.8591 -16.8267 0 0.733878 0.676253 0.0640601 10.511 0.0452248
126 46.0593 -82.2622 106.206 0 0.935612 0.261674 0.236975 10.511 0.0489559
127 65.2612 -47.145 -82.8269 0 -0.686798 0.59239 0.421169 10.511 0.0400873
128 79.485 -82.3709 -113.9 0 -0.682154 0.569258 0.458923 10.511 0.0354847
129 110.415 -183.387 -17.1735 0 -0.550349 -0.172706 0.816877 10.511 0.0378663
130 -3.74481 -95.2697 58.4106 0 0.321584 0.761295 0.56304 10.511 0.0398125
131 15.5925 26.8857 -13.1729 0 0.809339 0.114022 0.576168 10.511 0.0405836
132 -24.335 -70.3875 -91.1831 0 0.505203 0.591401 0.628502 10.511 0.0446779
133 -5.2748 -9.91551 31.3139 0 -0.785299 0.46429 0.40956 10.511 0.0222188
134 24.9687 -58.355 -85.2643 0 0.759943 -0.443163 -0.475493 10.511 0.0485445
135 78.8097 27.4737 -94.0799 0 -0.684111 -0.200282 0.701341 10.511 0.0228921
136 57.1792 174.709 114.216 0 0.221419 0.129391 0.966556 10.511 0.0379507
137 -121.853 -75.778 -45.9185 0 0.618126 -0.627636 -0.473279 10.511 0.0432132
138 87.9318 135.131 21.3567 0 0.536572 -0.635157 -0.555577 10.511 0.0205473
139 -31.117 127.893 -102.937 0 -0.919972 -0.343724 0.188431 10.511 0.0422197
140 11.975 -96.155 -40.4769 0 0.534883 -0.841903 -0.071417 10.511 0.038792
141 -100.631 -153.989 -2.67852 0 -0.360808 -0.106336 -0.926558 10.511 0.0421483
142 90.3463 -12.7199 -33.1022 0 -0.749875 0.471043 -0.464549 10.511 0.0393093
143 34.5297 115.794 42.6041 0 -0.00848237 -0.327975 -0.944648 10.511 0.0405962
144 38.8511 5.87942 -74.3524 0 0.484226 -0.292505 0.824601 10.511 0.0397941
145 96.9316 -4.54972 81.9994 0 -0.13512 -0.721413 -0.679195 10.511 0.042458
146 133.63 -108.196 44.3457 0 -0.801636 -0.358193 -0.478621 10.511 0.0349168
147 28.4479 -44.3363 68.4317 0 -0.465856 -0.786624 -0.405217 10.511 0.0492224
148 -134.106 103.667 -36.402 0 0.666408 -0.131214 -0.733951 10.511 0.041288
149 119.454 -18.1055 86.7227 0 0.636473 0.446014 0.629264 10.511 0.0475274
150 -61.9279 -188.644 19.7673 0 -0.372293 -0.776502 0.508372 10.511 0.0420036
151 1.38777 -146.203 18.2844 0 0.410191 -0.86722 -0.282264 10.511 0.124631
152 74.8895 -36.6334 58.9247 0 0.592383 -0.239088 0.769363 10.511 0.0361212
153 -22.8011 15.4619 147.941 0 0.969446 0.235761 -0.0677541 10.511 0.0485792
154 -131.108 -132.411 -30.9866 0 0.291953 0.506993 0.811 10.511 0.0293956
155 1.93981 84.2194 46.8381 0 -0.470726 -0.876112 0.104135 10.511 0.0439264
156 7.52855 111.565 -105.685 0 -0.391056 0.249707 0.885845 10.511 0.0458273
157 -126.027 -166.792 -16.5424 0 -0.783806 0.300104 0.543677 10.511 0.00472861
158 -121.471 157.137 -15.7894 0 -0.795906 -0.0523057 -0.603157 10.511 0.0475892
159 103.578 139.727 59.7678 0 0.204689 0.891256 -0.404679 10.511 0.0413177
160 94.1658 165.003 52.3833 0 -0.486416 -0.746906 -0.453355 10.511 0.0261334
161 148.142 -177.697 -18.6323 0 0.918975 0.0169172 0.393952 10.511 0.0361323
