eventNumber true_vertex_X true_vertex_Y true_vertex_Z true_t0 true_dir_X true_dir_Y true_dir_Z true_energy true_track_length
34 0 -0.000210017 6.10352e-06 0 -0.904345 0.247242 -0.347895 6.18 0.502709
35 0 -0.000210017 6.10352e-06 0 -0.833769 -0.371782 -0.408175 6.18 0.0115593
36 0 -0.000210017 6.10352e-06 0 -0.867632 0.395519 -0.301297 6.18 0.935335
37 0 -0.000210017 6.10352e-06 0 -0.450075 -0.768399 -0.454968 6.18 0.270599
38 0 -0.000210017 6.10352e-06 0 -0.522933 0.59502 0.610322 6.18 0.58
39 0 -0.000210017 6.10352e-06 0 0.415232 -0.82813 0.376541 6.18 0.993471
40 0 -0.000210017 6.10352e-06 0 0.929201 0.361702 0.0758802 6.18 1.29961
41 0 -0.000210017 6.10352e-06 0 0.681313 -0.730036 0.0534693 6.18 0.0439269
42 0 -0.000210017 6.10352e-06 0 -0.794848 0.56004 0.233607 6.18 1.10969
43 0 -0.000210017 6.10352e-06 0 -0.944 -0.243371 0.222787 6.18 1.34289
44 0 -0.000210017 6.10352e-06 0 0.158764 -0.304905 -0.939056 6.18 0.484151
45 0 -0.000210017 6.10352e-06 0 0.792141 -0.30405 -0.529213 6.18 0.148181
46 0 -0.000210017 6.10352e-06 0 -0.773914 0.283737 0.566172 6.18 1.42552
47 0 -0.000210017 6.10352e-06 0 -0.684082 0.371153 -0.627915 6.18 0.274136
48 0 -0.000210017 6.10352e-06 0 -0.594178 -0.78092 -0.192655 6.18 1.1339
49 0 -0.000210017 6.10352e-06 0 0.265258 0.955824 0.126642 6.18 0.000135014
50 0 -0.000210017 6.10352e-06 0 0.775442 -0.41777 0.473453 6.18 0.586707
51 0 -0.000210017 6.10352e-06 0 0.289604 -0.609789 -0.737758 6.18 0.0792078
52 0 -0.000210017 6.10352e-06 0 0.82255 0.194253 0.534488 6.18 0.982038
53 0 -0.000210017 6.10352e-06 0 -0.90961 0.396737 0.123325 6.18 0.110258
54 0 -0.000210017 6.10352e-06 0 -0.137692 0.942727 -0.303822 6.18 0.312177
55 0 -0.000210017 6.10352e-06 0 0.788732 -0.600481 0.131622 6.18 0.409139
56 0 -0.000210017 6.10352e-06 0 0.351055 0.302326 -0.886205 6.18 0.258726
57 0 -0.000210017 6.10352e-06 0 -0.15274 -0.713141 0.684179 6.18 1.33494
58 0 -0.000210017 6.10352e-06 0 0.0625977 -0.956762 0.284058 6.18 1.30652
59 0 -0.000210017 6.10352e-06 0 0.861551 -0.504861 0.0533407 6.18 0.369468
60 0 -0.000210017 6.10352e-06 0 0.874532 -0.379573 -0.301859 6.18 0.513496
