eventNumber clusterCharge clusterPE clusterMaxPE clusterChargeBalance clusterHits
296 0.0599735 53.9513 9.00449 0.267714 28
297 0.0481832 40.4263 2.33615 0.183963 32
298 0.0688882 60.2088 5.64076 0.179685 36
299 0.0614503 50.0829 5.04922 0.210895 31
300 0.0495143 40.9896 6.14025 0.226009 29
301 0.0592122 51.105 9.04576 0.267903 29
302 0.0529459 44.249 4.21271 0.219069 25
303 0.0366362 30.8496 4.04172 0.233596 23
304 0.0614736 49.9419 5.52507 0.202535 30
305 0.0432874 37.4493 3.75015 0.215821 25
306 0.0234819 20.7209 3.37192 0.259214 20
307 0.0536952 45.0043 4.60152 0.181354 35
308 0.0395634 33.7642 3.56835 0.213173 25
309 0.0478154 40.4807 5.65916 0.25053 23
310 0.0836777 69.7743 6.92009 0.192505 39
311 0.0636882 51.5835 4.33543 0.177437 39
312 0.0542697 44.7241 4.54605 0.206968 32
313 0.0393188 32.6751 12.2843 0.407662 16
314 0.0432353 35.6019 6.8085 0.304833 21
316 0.0286238 24.1569 3.16828 0.266013 18
318 0.0508255 42.1073 4.82086 0.19894 32
319 0.0576291 50.661 6.08664 0.224744 28
320 0.0287264 23.2261 3.27255 0.25117 21
321 0.0413387 36.4325 2.98657 0.196163 29
322 0.0361962 30.3549 6.59089 0.298012 20
323 0.0437335 37.3538 5.5242 0.258488 22
324 0.0708687 60.2747 7.1183 0.226664 33
325 0.0517945 43.8614 2.67951 0.18745 34
326 0.0649425 55.961 5.13637 0.199367 31
327 0.0527011 43.5239 4.57165 0.193774 32
328 0.0283647 23.8272 2.81362 0.261284 21
329 0.0478538 38.9787 4.98471 0.216244 27
330 0.048937 41.0855 3.83373 0.197764 30
331 0.0635096 55.7114 8.06548 0.262377 26
332 0.0419494 36.8786 8.99487 0.329098 18
333 0.0326271 26.7989 4.26997 0.278149 19
334 0.0304555 24.8767 2.54742 0.229322 21
335 0.0519143 44.5472 5.45576 0.217891 32
336 0.0675958 54.4896 15.1442 0.366479 22
337 0.0673566 50.5499 18.3019 0.474638 13
338 0.049914 39.0764 4.37838 0.224218 23
339 0.0724613 58.8302 9.8997 0.298832 23
340 0.0321734 27.2351 5.7396 0.294603 18
341 0.0424645 34.9029 2.49711 0.196659 27
343 0.0495998 42.1668 13.9645 0.366291 22
344 0.0487995 43.9314 20.9637 0.497831 19
345 0.0431471 34.754 4.3116 0.215505 24
346 0.0415939 34.4206 3.45218 0.219752 24
347 0.0429695 35.9103 4.83702 0.26746 22
348 0.0722645 60.0784 6.80572 0.212842 34
349 0.0490274 40.4393 6.6127 0.241647 30
350 0.068053 56.3045 3.31585 0.163726 37
351 0.0456836 41.2671 13.393 0.39535 17
352 0.0722604 57.1872 6.85781 0.246154 24
353 0.0593929 48.0064 4.19476 0.181926 35
354 0.0371463 30.1573 4.86075 0.250802 24
355 0.0600346 52.322 21.1443 0.420811 24
356 0.0367577 30.293 4.6705 0.25733 19
357 0.0477933 39.7801 3.91246 0.192853 32
358 0.0540681 45.1235 8.31757 0.238227 29
359 0.0487367 42.4673 2.76223 0.180901 37
360 0.036491 29.9142 2.73099 0.214872 22
361 0.0669273 57.6123 4.16119 0.17004 37
362 0.0537067 47.1456 7.31591 0.261956 25
363 0.0455251 38.2412 4.67496 0.256104 20
364 0.0532587 46.8422 5.52708 0.200577 33
365 0.0404378 33.6192 2.65715 0.200371 26
366 0.0418202 34.0494 2.72408 0.189478 28
367 0.039468 33.7165 3.95087 0.250716 20
368 0.0579315 49.0538 7.20422 0.210422 30
369 0.0313256 29.6983 2.75669 0.201198 26
370 0.0507268 42.7474 6.44639 0.249636 27
371 0.0345106 29.2551 2.98301 0.237562 18
372 0.0653158 54.0229 6.11724 0.201612 31
373 0.0648448 54.4675 6.98848 0.22325 28
374 0.0471083 39.1759 3.64338 0.217082 24
375 0.0261 21.0668 2.54708 0.257193 16
376 0.0408399 33.7685 6.04174 0.26708 23
377 0.0572729 45.5016 8.18771 0.242379 28
378 0.0347165 28.1486 5.38434 0.263353 20
379 0.0501329 45.724 5.42217 0.231298 27
380 0.0490353 39.1548 2.83735 0.176723 32
381 0.0488346 40.1402 4.13912 0.206114 28
382 0.0536517 42.3021 6.18172 0.255549 23
383 0.035875 30.0752 4.96381 0.253072 20
384 0.0470567 41.5268 6.56085 0.247865 27
385 0.0339723 28.1602 2.43939 0.214639 25
387 0.0637313 56.6464 12.6613 0.394349 14
388 0.00896612 7.58431 2.23628 0.429601 6
389 0.0458234 38.8122 7.08865 0.230064 31
390 0.0710637 60.7612 6.52415 0.219349 31
391 0.0663749 52.4889 10.0121 0.26325 25
393 0.07298 57.3707 10.4159 0.277415 28
394 0.0594952 46.7916 4.04139 0.173086 35
395 0.0401116 36.1827 5.61176 0.23909 22
396 0.039352 34.9643 3.01753 0.20995 26
397 0.0613203 53.4876 17.1167 0.422696 13
398 0.0464486 40.7626 5.06218 0.211384 29
399 0.0498656 40.6177 15.3117 0.398998 23
400 0.0385835 32.0131 4.15982 0.262557 20
401 0.0240615 20.0335 3.39849 0.274905 15
402 0.0592556 46.6917 7.34421 0.226744 31
403 0.0239677 20.4416 5.17427 0.362517 13
404 0.042775 34.9904 4.60377 0.274244 20
405 0.00865786 6.88113 1.17916 0.353475 8
406 0.0539086 43.6328 7.10172 0.301004 21
407 0.0515473 45.27 4.23827 0.189819 31
408 0.0527936 43.7606 6.35453 0.238423 27
409 0.046801 38.8212 3.48409 0.204539 27
411 0.0493528 40.542 2.7577 0.187623 33
412 0.0537558 45.223 5.34163 0.207015 33
413 0.0697536 63.4193 24.5906 0.502327 18
414 0.0367494 32.0294 5.30516 0.265221 21
415 0.0519326 43.243 3.52437 0.194881 31
416 0.0743164 65.2322 5.14481 0.166734 40
417 0.0752375 65.6214 14.3507 0.350025 23
418 0.0396194 33.692 3.98838 0.227132 22
419 0.0518938 43.2817 4.7757 0.219933 26
420 0.0420351 34.7508 2.5607 0.205046 24
422 0.0430407 34.9339 4.08328 0.235963 27
423 0.050404 41.9411 3.38234 0.18559 33
424 0.0528312 43.8479 4.83142 0.205612 28
425 0.0749917 59.0036 4.65116 0.177051 41
426 0.0466415 38.3143 6.29609 0.271376 21
427 0.0562334 46.2265 3.19878 0.173325 35
428 0.0463046 38.419 9.70094 0.400083 16
429 0.0488167 39.6626 3.03324 0.186139 28
430 0.0244264 21.4475 2.70433 0.246744 17
431 0.0607963 50.7988 6.18626 0.212901 27
432 0.0683439 59.9483 7.35204 0.211531 35
433 0.0229553 19.6806 3.18633 0.262066 17
434 0.0680196 62.7252 11.8041 0.310308 21
435 0.0562288 44.3326 5.24192 0.225984 25
436 0.0411526 35.0214 5.95554 0.251797 22
437 0.0473462 38.8861 5.29718 0.214313 28
438 0.0934281 77.1722 32.0888 0.436245 33
439 0.0518479 42.4423 3.12986 0.177908 31
440 0.0618543 50.0477 6.81625 0.22457 30
441 0.0510474 42.7361 6.07427 0.24458 23
442 0.0512561 42.4109 5.4366 0.245473 23
443 0.0501104 43.0288 4.47254 0.22335 23
444 0.0467514 39.1022 5.20288 0.217607 26
445 0.0621458 52.0163 9.05173 0.24691 31
446 0.0491267 42.3445 6.38787 0.245037 28
447 0.0403694 34.1401 3.75364 0.22541 27
448 0.049174 41.6583 5.55453 0.222428 29
449 0.0496167 41.4188 2.90992 0.174973 35
450 0.048334 41.4407 2.77555 0.176018 32
451 0.047031 43.5253 9.89218 0.298854 22
452 0.0335427 28.9965 6.33099 0.309806 18
453 0.0526547 44.1759 3.48401 0.181465 31
454 0.0407468 34.4046 5.27982 0.266289 21
455 0.0178348 15.373 6.33198 0.555942 8
456 0.0719997 61.4151 26.0904 0.451323 24
457 0.0323798 27.6878 5.23208 0.293564 18
458 0.0548673 46.3613 5.75374 0.24812 24
459 0.0554241 47.9864 3.81026 0.190313 31
460 0.0560435 46.9778 15.6927 0.360701 25
461 0.0328006 26.5791 4.97639 0.289505 18
462 0.016249 13.5245 3.42061 0.366313 12
463 0.0305797 26.1501 13.6524 0.548821 9
464 0.0548246 45.5508 3.91624 0.20026 28
465 0.0557547 46.6907 4.97604 0.248939 22
466 0.0673252 56.2117 4.66544 0.187344 37
467 0.052898 44.2259 19.8487 0.471227 16
468 0.047843 40.0275 4.98914 0.231702 26
469 0.0519442 42.3203 3.81056 0.209797 27
470 0.0380628 32.6575 2.47459 0.186654 30
471 0.0542855 45.7578 7.21993 0.245122 25
472 0.0535504 42.584 8.14886 0.269376 27
473 0.0532396 43.983 4.08098 0.180356 32
